request_id,system,cascade,servings,avoid,ok,terminated_by,latency_s,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,tool_calls,failed_checks
r01_p4,agent,False,4,dairy,True,,3.936,7156,725,7881,0.001078,6,5,
r01_p4,workflow,False,4,dairy,True,,0.534,244,133,377,9.1e-05,1,4,
r02_p8,agent,True,8,dairy|gluten,False,,4.384,7193,875,8068,0.001157,6,5,allergen_free
r02_p8,workflow,True,8,dairy|gluten,True,,0.553,259,107,366,7.9e-05,1,6,
r03_mac6,agent,False,6,gluten,True,,9.051,5827,700,6527,0.000933,5,4,
r03_mac6,workflow,False,6,gluten,True,,0.58,254,118,372,8.4e-05,1,4,
r04_mac4nut,agent,True,4,dairy|tree_nut,True,,12.308,8828,891,9719,0.001328,7,6,
r04_mac4nut,workflow,True,4,dairy|tree_nut,True,,0.682,270,167,437,0.000111,1,6,
r05_curry4,agent,False,4,shellfish,True,,3.252,2914,519,3433,0.000551,3,2,
r05_curry4,workflow,False,4,shellfish,True,,0.784,234,259,493,0.000153,1,3,
r06_curry2,agent,True,2,shellfish|fish,True,,13.091,7736,671,8407,0.001109,6,5,
r06_curry2,workflow,True,2,shellfish|fish,True,,0.67,235,218,453,0.000133,1,5,
r07_curry8,agent,True,8,fish|soy|shellfish,True,,16.121,7090,801,7891,0.00111,6,5,
r07_curry8,workflow,True,8,fish|soy|shellfish,True,,0.828,236,183,419,0.000115,1,7,
r08_bread8,agent,False,8,dairy|egg,True,,6.483,5698,615,6313,0.000877,5,4,
r08_bread8,workflow,False,8,dairy|egg,True,,0.468,241,186,427,0.000117,1,4,
r09_noodle4,agent,False,4,gluten|soy,True,,8.522,7410,878,8288,0.00118,6,5,
r09_noodle4,workflow,False,4,gluten|soy,True,,4.493,270,212,482,0.000133,1,5,
r10_cookie12,agent,False,12,dairy,True,,4.303,5578,654,6232,0.000885,5,4,
r10_cookie12,workflow,False,12,dairy,True,,0.651,244,131,375,9e-05,1,4,
